definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
slow,1974-12-23,1975-03-17,-0.21490514254485504,57,0.09732690406329339,0.2569918092079987,-0.425505071938604,0.31577306417115647,-4.642765426856857,True,0.7085558064181863,0.2309602988566577,-0.2112937062005611,1.4835897641413704,-0.48358976414137045,0.10207362058609304,0,58,True,True,Route 1,1974-11-30,returns-only
fast,1978-09-06,1978-09-20,-0.056665884285232115,10,0.043922876623795376,0.09981373051840337,0.2093704329399788,-0.024839411877105144,-6.47636273767751,False,-0.00396266224765629,-0.07536189393002646,-0.05374154852651625,-0.05550006847811427,1.0555000684781142,-0.34571499388094207,0,11,True,False,Route 2,1978-08-31,returns-only
fast,1978-10-13,1978-10-27,-0.10626652410893334,10,0.059871832806724916,0.0967507387803623,0.24605333792121198,-0.1168411478279987,-8.909927962386787,True,-0.09295740655782447,-0.22720247815103511,-0.1086796044938394,-0.6924455807175102,1.6924455807175103,0.3331156551619089,0,11,True,False,Route 2,1978-09-30,returns-only
fast,1980-03-03,1980-03-17,-0.0886202896992796,10,0.10038492317076343,0.132331271917386,0.4985706960081986,-0.10439578341858813,-4.431644808162851,False,-0.0608835990551061,-0.1781181777864561,-0.08843801375721938,-0.5193314098447394,1.5193314098447392,-0.14280257380380157,0,11,True,False,Route 2,1980-02-29,returns-only
slow,1980-03-05,1980-05-13,-0.14657139200783764,48,0.09927950571263705,0.13108926424387476,0.4608522339081804,-0.05342519268354495,-3.3827449772721105,True,0.027018816171587634,-0.17117655808177745,-0.14349904901906663,0.13632415122387193,0.8636758487761281,0.35937506990522566,0,49,True,False,Route 2,1980-02-29,returns-only
fast,1980-12-23,1981-01-08,-0.06760619011742153,10,0.118270060762339,0.1675415525121522,0.6221716762308369,-0.019687245589345315,-2.8695375542846393,False,0.027740154948657336,-0.09332101719274288,-0.07590449502537644,0.22914163524087358,0.7708583647591264,-0.18971919454344063,0,11,True,False,Route 2,1980-11-30,returns-only
slow,1980-11-28,1981-02-02,-0.1442159907697701,44,0.09566347607392038,0.1510210860653706,0.7334723623472184,-0.08770567376370275,-3.607789518672186,True,-0.0023943776152111074,-0.19973544128636922,-0.1383110811060816,-0.012133195041458832,1.012133195041459,0.24235324478426354,0,45,True,False,Route 2,1980-10-31,returns-only
fast,1981-06-29,1981-07-14,-0.04982488920201655,10,0.05907031157096585,0.1123658332088883,0.4907887765911594,-0.024602492723305946,-4.234258328405997,False,0.04329822217559087,-0.08133319583357035,-0.053720607156288236,0.3474101704628617,0.6525898295371383,0.18452879600981198,0,11,True,False,Route 2,1981-05-31,returns-only
slow,1981-05-29,1981-09-08,-0.10743911528248817,70,0.07463577012276525,0.12598652049110243,0.5671953873702176,-0.11233364322186468,-2.7312827095685335,True,-0.03005169670518959,-0.21924804346095683,-0.10601101786694012,-0.15883867326456994,1.15883867326457,0.16157630747018664,0,71,True,False,Route 2,1981-04-30,returns-only
fast,1982-03-08,1982-03-22,-0.04485070459489271,10,0.08317991191059666,0.13548978156706623,0.14755033480775448,0.026584165190502773,-2.706768317098047,False,0.0646774675796511,0.013371961028231905,-0.03415303248635537,1.2606340318427676,-0.2606340318427675,0.3235243360630149,0,11,True,False,FITS-NONE,1982-02-28,returns-only
fast,1982-08-12,1982-08-26,-0.06199641127362343,10,0.07212930737098652,0.10864199623283322,-0.06546939247670125,0.15260172218969692,-4.3147442551545865,False,0.2211790057192724,0.1480208643095524,-0.05693119189450113,3.0232999561944305,-2.0232999561944305,0.5092855847192768,0,11,True,True,Route 1,1982-07-31,returns-only
fast,1982-10-08,1982-10-22,-0.06461080584866097,10,0.08542697040588143,0.1648994577420943,0.10729504394790279,0.082897386321243,-3.796736202552278,False,0.17103854003253427,0.05294052207554567,-0.06002739879731944,1.4482761268256563,-0.44827612682565643,1.0912680915985729,0,11,True,False,FITS-NONE,1982-09-30,returns-only
fast,1982-12-22,1983-01-06,-0.06888396256485152,10,0.1218928340051959,0.20764587406973006,0.15599257914989906,0.048329059195980406,-2.8368751166204365,True,0.12463925867593195,0.011089918578749858,-0.06469394039639331,1.097666076872472,-0.09766607687247203,0.4297201058587364,0,11,True,False,FITS-NONE,1982-11-30,returns-only
