formation,sigma,calendar_state,var_uncond,var_scaled,var_state,var_terc,es_scaled,prob_below_level,prob_below_own_var,realised,weight_l2_norm,earnings_weight_in_window,fomc_in_window
2018-03-31,0.15993720911228307,False,-0.06016702599955765,-0.041996389983183086,-0.04097414007249154,-0.0370043036101103,-0.06990630527737193,0.04819277108433735,0.024096385542168676,0.004895370965970036,0.2028942314297704,0.001481725269553157,False
2018-04-30,0.1707302246742111,True,-0.05908071213959644,-0.04660930629416221,-0.04660930629416221,-0.051786545658419204,-0.07487548789252452,0.0625,0.02734375,0.02560749843601795,0.2218794699333964,0.003605994487373658,True
2018-05-31,0.1694491411197958,True,-0.05771452818681645,-0.04500217323628859,-0.061660595320292055,-0.050179391132417726,-0.07359086769510442,0.05949367088607595,0.027848101265822784,-0.0010615604808302814,0.21493562897272647,0.0,True
2018-06-30,0.16514121291052847,False,-0.057484680479514605,-0.04381476602986386,-0.04258592714552489,-0.040861665541319994,-0.0712194475032144,0.0530209617755857,0.025893958076448828,0.018551912660261127,0.21722651597581066,0.0012781826772569262,False
2018-07-31,0.17422981469133333,True,-0.05716769465165114,-0.04714162311131129,-0.056416909806421944,-0.046954340074416005,-0.07464843877477291,0.0673076923076923,0.028846153846153848,0.05240877585806669,0.21692671557642287,0.0064469318942546785,True
2018-08-31,0.1721330569750688,False,-0.05692481654672564,-0.04569760592142668,-0.044129323626343836,-0.04680561291895095,-0.07310755616217746,0.06432748538011696,0.028070175438596492,-0.04073692841779908,0.2660570388998168,0.0005474224014422712,False
2018-09-30,0.1700870332489431,False,-0.056828405940477354,-0.04524413636307668,-0.043702371997780785,-0.05177455992826981,-0.07182865273855359,0.06077981651376147,0.02522935779816514,-0.07015920852146862,0.27074522192542894,0.0,False
2018-10-31,0.21626381735005243,True,-0.05923248835233333,-0.06223360171537765,-0.06910444400916084,-0.056981429917808524,-0.09661218187010732,0.11620111731843576,0.05698324022346369,0.027024656900049404,0.2679799169855056,0.002923766970337682,True
2018-11-30,0.23456550541672666,False,-0.05810479476027802,-0.06698746882629428,-0.06544108851812969,-0.06160122391381107,-0.10397156121066026,0.12663755458515283,0.07205240174672489,0.037699506099027946,0.277967106142884,0.0,False
2018-12-31,0.23602418708186068,False,-0.057653999278903495,-0.06705007678563137,-0.06557303364302446,-0.06050366455489211,-0.1038246396826043,0.125,0.07264957264957266,-0.002533287211296309,0.287222886413272,0.013804593072282031,False
