formation,sigma,bear,n_train,n_state,var_uncond,var_scaled,var_cond,realised
1940-09-30,0.155958286217822,False,4017,2454,-0.06376220498098269,-0.05924482516308539,-0.046617972217084,0.0014326656717800201
1940-10-31,0.13977262507372495,True,4043,1578,-0.06370047794031015,-0.052913953254162635,-0.07022262646753177,-0.05058483422997695
1940-11-30,0.14940821931875126,False,4066,2470,-0.06374197243206936,-0.05690923386425499,-0.04457956344356022,0.03262731199242208
1940-12-31,0.14581852228026482,False,4091,2495,-0.06368837662311277,-0.05544780659458426,-0.04341559296794432,-0.057887802388435716
1941-01-31,0.13935854247228655,True,4117,1596,-0.06373596912467579,-0.05339575990326488,-0.06966901072325477,0.009524095337694494
1941-02-28,0.11030737853833757,False,4139,2533,-0.06370627919607745,-0.042040993623937616,-0.03328823941231815,0.0070579942580066835
1941-03-31,0.09877260834867173,True,4165,1619,-0.06366545184745347,-0.0375959814754362,-0.04927844010801794,-0.008085536409119909
1941-04-30,0.06276162011930618,True,4190,1644,-0.06325772201683559,-0.023801031454861427,-0.031116181988106298,0.030465546641877728
1941-05-31,0.06172007128965502,True,4216,1669,-0.06275127023452234,-0.0232932249320643,-0.030448042269036527,-0.026516646384156406
1941-06-30,0.05436009271515365,True,4241,1694,-0.06260599856724747,-0.020636158821772596,-0.026753356910399616,-0.015099841685766613
1941-07-31,0.056993923886675,True,4267,1720,-0.062466966723902895,-0.021798431434759655,-0.028102054575828476,-0.007939405554713841
1941-08-30,0.057229196744320136,True,4293,1746,-0.06243495408898068,-0.021798118448209492,-0.028128537208349024,0.004360105849239737
1941-09-30,0.05394467239681879,True,4318,1771,-0.06236567554178902,-0.020488693273696405,-0.026482970027781372,0.01460007928847551
1941-10-31,0.061110517589037856,True,4344,1797,-0.062253139807465274,-0.023129207088545385,-0.02992072167998482,0.03061173409737039
1941-11-29,0.06210986008678579,True,4366,1819,-0.06218554262212225,-0.02340560858136656,-0.030326869726836972,0.0015389332478141782
1941-12-31,0.07043846676355262,True,4392,1845,-0.06193641312134414,-0.026534976402121244,-0.03437904891048984,-0.08163569809022908
1942-01-31,0.09106499129742507,False,4418,2548,-0.06274510496656417,-0.03560961281402967,-0.02742482256139542,-0.003140396708128823
1942-02-28,0.09057555078496682,True,4440,1872,-0.06261249149211644,-0.03533827694875139,-0.04533811431297967,0.003287793710439857
1942-03-31,0.08487559272252591,True,4466,1898,-0.06246755604665824,-0.03291887422483779,-0.04234620087249642,-0.0044331423955513705
1942-04-30,0.08265175618218946,True,4491,1923,-0.06243891444170524,-0.03181791532359693,-0.04098844236640435,-0.014977938569940785
1942-05-29,0.07873653992905766,True,4516,1948,-0.062371962263705893,-0.03016845661576705,-0.03884450465445382,-0.03481632511977084
1942-06-30,0.05399175788951582,True,4542,1974,-0.062253589135788046,-0.02110834499907072,-0.026572080673354648,-0.02444045381265736
1942-07-31,0.05814328232908849,True,4568,2000,-0.062160031464282464,-0.022849696085722064,-0.0287006916172539,0.0017815720279059644
1942-08-31,0.05898323558435984,True,4594,2026,-0.06192590479098419,-0.023159061125356,-0.02906120978414556,0.002387340438827934
1942-09-30,0.05272063884286773,True,4619,2051,-0.061678504653117756,-0.020632803311717303,-0.025904075282510614,-0.016113498926054848
1942-10-31,0.04993691380131629,False,4645,2580,-0.06162930274813403,-0.019516404929057495,-0.014961494460298794,0.020358588488962104
