formation,long_n_names,long_effective_n,long_weight_l2,long_top1,long_top5,short_n_names,short_effective_n,short_weight_l2,short_top1,short_top5
2015-03-31,255,10.133332238488949,0.3141404481892444,0.2919597028566709,0.48325651630194844,255,10.631266684887658,0.30669556348530197,0.24005563850878767,0.557538288291871
2015-04-30,256,7.8462271953971525,0.3570011049511582,0.3454920068210128,0.46793326034733806,256,11.440552179946046,0.295649062963346,0.22933707673377976,0.5425120015214446
2015-05-31,256,7.585358756096185,0.36308803448006394,0.35395347177484343,0.44560065846671426,256,18.146254579915094,0.23475048612138952,0.20546132728290564,0.37838878554550076
2015-06-30,260,45.554659785612294,0.14816089616642597,0.08595635281560693,0.22893459909765104,260,33.24577938502502,0.17343300168158465,0.13074880605164693,0.2824914990105744
2015-07-31,258,48.13054614858825,0.1441416884916435,0.08778825165728713,0.2186351063061439,258,49.64901508323819,0.14192035251147533,0.05942104660630012,0.2284651280625826
2015-08-31,257,25.723102618275863,0.19716885974386889,0.13628518781496882,0.3688620382220765,257,38.26059701024766,0.16166802350056791,0.09579362005690373,0.2754159614927786
2015-09-30,260,25.92602188948472,0.19639573773807523,0.1417716648260156,0.3420757159273396,261,35.42715988192683,0.16800872319673488,0.09895796534232115,0.28059057456581377
2015-10-31,260,21.291965850238704,0.21671657053921317,0.18282564267430906,0.3444909143686871,260,38.68646714129342,0.1607757203791364,0.06857513486257774,0.26902739490751665
2015-11-30,271,19.645914430938394,0.225612872992662,0.17634143602876384,0.37760749904148866,271,39.818614562896904,0.15847360131270305,0.07906009169505464,0.26599818684513393
2015-12-31,274,14.687199724411887,0.26093389653983506,0.13782474554254426,0.5438868368204152,274,29.382585735333222,0.1844824229760026,0.09909890476275597,0.34993212223290066
2016-01-31,272,13.66663356729191,0.27050121796461774,0.14095508312472374,0.5477523497183198,272,27.60074580518888,0.19034417519087718,0.08620539683297307,0.356322059313343
2016-02-29,273,15.67324550821143,0.25259254679051113,0.16671851420601652,0.512641777577944,273,25.017441310750304,0.1999302712397077,0.1029161805530053,0.3762343445396488
2016-03-31,272,14.594000996745118,0.2617657453670404,0.17650714086761318,0.5369142664705145,272,26.153106400910332,0.19554123764810996,0.08821191196780417,0.36796725337046343
2016-04-30,271,19.823789373690463,0.22459840235166145,0.12378550284301446,0.4303550004434631,271,27.713971996499552,0.18995494906612437,0.08428328328825346,0.3506799908433491
2016-05-31,284,20.18730480072882,0.22256702966768332,0.109224311342189,0.4505715306920542,284,24.364089988877538,0.2025932178606733,0.0876455868470351,0.37017526771545456
2016-06-30,272,19.63397904651308,0.22568143696682025,0.1191287676409927,0.4629151374983853,272,28.098811188113583,0.18864966006920236,0.12246931841853327,0.3293236695749473
2016-07-31,271,26.88367714808729,0.19286599599845466,0.09924867540202663,0.3921500656185802,271,20.782316928850147,0.21935776789841877,0.15408067240567683,0.42441874943854496
2016-08-31,273,15.782588965291009,0.251716031973199,0.2324451979462234,0.3609214258016547,273,19.72031898911201,0.22518685326079957,0.17378737121762303,0.3969606005502375
2016-09-30,271,14.839013972741894,0.2595956902419805,0.23643260817160344,0.38920290209737163,271,24.144099526688876,0.20351409530206402,0.1635430399582309,0.34355692536033183
2016-10-31,270,10.39338245287579,0.31018553810999355,0.29506744634197035,0.4258583716714629,271,28.046718898202496,0.1888247720661353,0.15362583749679468,0.29276219994094455
2016-11-30,272,45.030224878720944,0.14902116082833547,0.08215023923967432,0.2766181481481351,272,26.714298822264166,0.1934764500211454,0.14202293489444884,0.3422756945012141
2016-12-31,271,45.57846397777298,0.14812220123524422,0.07245212694567141,0.2713196277177034,271,20.869976293606427,0.2188966031061532,0.13891187602915853,0.3997934443497606
2017-08-31,252,36.97341238634594,0.16445808641153414,0.08292464844817943,0.3038655855703865,252,36.89714428797071,0.16462796989105946,0.09172546611507527,0.29427091838201536
2017-09-30,251,33.271027837640304,0.17336718246462737,0.10076139883706231,0.3153947971652539,251,12.311925055379819,0.28499485409056413,0.2680835444943387,0.39228067890437646
2017-10-31,250,15.881091698141498,0.25093418130973455,0.18870259376935605,0.46193828401360854,250,13.899597995553252,0.2682247691098002,0.23850089357526216,0.4208436081824562
2017-11-30,248,17.59553238266054,0.2383959066660622,0.18110908378081225,0.4376642350562841,248,11.686293701046274,0.2925240661462794,0.20153569845534697,0.514366885390739
